region_desc,reference_period_desc,source_desc,county_name,util_practice_desc,commodity_desc,agg_level_desc,state_fips_code,begin_code,short_desc,state_ansi,zip_5,class_desc,watershed_desc,asd_desc,congr_district_code,freq_desc,year,end_code,CV (%),watershed_code,group_desc,state_alpha,domaincat_desc,county_code,county_ansi,location_desc,country_code,unit_desc,country_name,prodn_practice_desc,load_time,asd_code,statisticcat_desc,state_name,week_ending,Value,sector_desc,domain_desc
,DEC,SURVEY,,GRAIN,CORN,STATE,31,12,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",31,,ALL CLASSES,,,,MONTHLY,2025,12,,00000000,FIELD CROPS,NE,NOT SPECIFIED,,,NEBRASKA,9000,$ / BU,UNITED STATES,ALL PRODUCTION PRACTICES,2026-01-30 15:00:00.000,,PRICE RECEIVED,NEBRASKA,,4.06,CROPS,TOTAL
,JAN,SURVEY,,GRAIN,CORN,STATE,31,01,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",31,,ALL CLASSES,,,,MONTHLY,2024,01,,00000000,FIELD CROPS,NE,NOT SPECIFIED,,,NEBRASKA,9000,$ / BU,UNITED STATES,ALL PRODUCTION PRACTICES,2024-09-27 15:00:00.000,,PRICE RECEIVED,NEBRASKA,,4.87,CROPS,TOTAL
,FEB,SURVEY,,GRAIN,CORN,STATE,31,02,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",31,,ALL CLASSES,,,,MONTHLY,2024,02,,00000000,FIELD CROPS,NE,NOT SPECIFIED,,,NEBRASKA,9000,$ / BU,UNITED STATES,ALL PRODUCTION PRACTICES,2024-09-27 15:00:00.000,,PRICE RECEIVED,NEBRASKA,,4.4,CROPS,TOTAL
,MAR,SURVEY,,GRAIN,CORN,STATE,31,03,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",31,,ALL CLASSES,,,,MONTHLY,2024,03,,00000000,FIELD CROPS,NE,NOT SPECIFIED,,,NEBRASKA,9000,$ / BU,UNITED STATES,ALL PRODUCTION PRACTICES,2024-09-27 15:00:00.000,,PRICE RECEIVED,NEBRASKA,,4.43,CROPS,TOTAL
,APR,SURVEY,,GRAIN,CORN,STATE,31,04,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",31,,ALL CLASSES,,,,MONTHLY,2024,04,,00000000,FIELD CROPS,NE,NOT SPECIFIED,,,NEBRASKA,9000,$ / BU,UNITED STATES,ALL PRODUCTION PRACTICES,2024-09-27 15:00:00.000,,PRICE RECEIVED,NEBRASKA,,4.47,CROPS,TOTAL
,MAY,SURVEY,,GRAIN,CORN,STATE,31,05,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",31,,ALL CLASSES,,,,MONTHLY,2024,05,,00000000,FIELD CROPS,NE,NOT SPECIFIED,,,NEBRASKA,9000,$ / BU,UNITED STATES,ALL PRODUCTION PRACTICES,2024-09-27 15:00:00.000,,PRICE RECEIVED,NEBRASKA,,4.62,CROPS,TOTAL
,JUN,SURVEY,,GRAIN,CORN,STATE,31,06,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",31,,ALL CLASSES,,,,MONTHLY,2024,06,,00000000,FIELD CROPS,NE,NOT SPECIFIED,,,NEBRASKA,9000,$ / BU,UNITED STATES,ALL PRODUCTION PRACTICES,2024-09-27 15:00:00.000,,PRICE RECEIVED,NEBRASKA,,4.62,CROPS,TOTAL
,JUL,SURVEY,,GRAIN,CORN,STATE,31,07,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",31,,ALL CLASSES,,,,MONTHLY,2024,07,,00000000,FIELD CROPS,NE,NOT SPECIFIED,,,NEBRASKA,9000,$ / BU,UNITED STATES,ALL PRODUCTION PRACTICES,2024-09-27 15:00:00.000,,PRICE RECEIVED,NEBRASKA,,4.49,CROPS,TOTAL
,AUG,SURVEY,,GRAIN,CORN,STATE,31,08,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",31,,ALL CLASSES,,,,MONTHLY,2024,08,,00000000,FIELD CROPS,NE,NOT SPECIFIED,,,NEBRASKA,9000,$ / BU,UNITED STATES,ALL PRODUCTION PRACTICES,2024-09-27 15:00:00.000,,PRICE RECEIVED,NEBRASKA,,3.98,CROPS,TOTAL
,SEP,SURVEY,,GRAIN,CORN,STATE,31,09,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",31,,ALL CLASSES,,,,MONTHLY,2024,09,,00000000,FIELD CROPS,NE,NOT SPECIFIED,,,NEBRASKA,9000,$ / BU,UNITED STATES,ALL PRODUCTION PRACTICES,2025-09-30 15:00:00.000,,PRICE RECEIVED,NEBRASKA,,4.13,CROPS,TOTAL
,OCT,SURVEY,,GRAIN,CORN,STATE,31,10,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",31,,ALL CLASSES,,,,MONTHLY,2024,10,,00000000,FIELD CROPS,NE,NOT SPECIFIED,,,NEBRASKA,9000,$ / BU,UNITED STATES,ALL PRODUCTION PRACTICES,2025-09-30 15:00:00.000,,PRICE RECEIVED,NEBRASKA,,4.12,CROPS,TOTAL
,NOV,SURVEY,,GRAIN,CORN,STATE,31,11,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",31,,ALL CLASSES,,,,MONTHLY,2024,11,,00000000,FIELD CROPS,NE,NOT SPECIFIED,,,NEBRASKA,9000,$ / BU,UNITED STATES,ALL PRODUCTION PRACTICES,2025-09-30 15:00:00.000,,PRICE RECEIVED,NEBRASKA,,4.17,CROPS,TOTAL
,DEC,SURVEY,,GRAIN,CORN,STATE,31,12,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",31,,ALL CLASSES,,,,MONTHLY,2024,12,,00000000,FIELD CROPS,NE,NOT SPECIFIED,,,NEBRASKA,9000,$ / BU,UNITED STATES,ALL PRODUCTION PRACTICES,2025-09-30 15:00:00.000,,PRICE RECEIVED,NEBRASKA,,4.3,CROPS,TOTAL
,JAN,SURVEY,,GRAIN,CORN,STATE,31,01,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",31,,ALL CLASSES,,,,MONTHLY,2023,01,,00000000,FIELD CROPS,NE,NOT SPECIFIED,,,NEBRASKA,9000,$ / BU,UNITED STATES,ALL PRODUCTION PRACTICES,2023-11-30 15:00:00.000,,PRICE RECEIVED,NEBRASKA,,6.93,CROPS,TOTAL
,FEB,SURVEY,,GRAIN,CORN,STATE,31,02,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",31,,ALL CLASSES,,,,MONTHLY,2023,02,,00000000,FIELD CROPS,NE,NOT SPECIFIED,,,NEBRASKA,9000,$ / BU,UNITED STATES,ALL PRODUCTION PRACTICES,2023-11-30 15:00:00.000,,PRICE RECEIVED,NEBRASKA,,7.05,CROPS,TOTAL
,MAR,SURVEY,,GRAIN,CORN,STATE,31,03,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",31,,ALL CLASSES,,,,MONTHLY,2023,03,,00000000,FIELD CROPS,NE,NOT SPECIFIED,,,NEBRASKA,9000,$ / BU,UNITED STATES,ALL PRODUCTION PRACTICES,2023-11-30 15:00:00.000,,PRICE RECEIVED,NEBRASKA,,6.9,CROPS,TOTAL
,APR,SURVEY,,GRAIN,CORN,STATE,31,04,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",31,,ALL CLASSES,,,,MONTHLY,2023,04,,00000000,FIELD CROPS,NE,NOT SPECIFIED,,,NEBRASKA,9000,$ / BU,UNITED STATES,ALL PRODUCTION PRACTICES,2023-11-30 15:00:00.000,,PRICE RECEIVED,NEBRASKA,,6.87,CROPS,TOTAL
,MAY,SURVEY,,GRAIN,CORN,STATE,31,05,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",31,,ALL CLASSES,,,,MONTHLY,2023,05,,00000000,FIELD CROPS,NE,NOT SPECIFIED,,,NEBRASKA,9000,$ / BU,UNITED STATES,ALL PRODUCTION PRACTICES,2023-11-30 15:00:00.000,,PRICE RECEIVED,NEBRASKA,,6.87,CROPS,TOTAL
,JUN,SURVEY,,GRAIN,CORN,STATE,31,06,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",31,,ALL CLASSES,,,,MONTHLY,2023,06,,00000000,FIELD CROPS,NE,NOT SPECIFIED,,,NEBRASKA,9000,$ / BU,UNITED STATES,ALL PRODUCTION PRACTICES,2023-11-30 15:00:00.000,,PRICE RECEIVED,NEBRASKA,,6.65,CROPS,TOTAL
,JUL,SURVEY,,GRAIN,CORN,STATE,31,07,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",31,,ALL CLASSES,,,,MONTHLY,2023,07,,00000000,FIELD CROPS,NE,NOT SPECIFIED,,,NEBRASKA,9000,$ / BU,UNITED STATES,ALL PRODUCTION PRACTICES,2023-11-30 15:00:00.000,,PRICE RECEIVED,NEBRASKA,,6.51,CROPS,TOTAL
,AUG,SURVEY,,GRAIN,CORN,STATE,31,08,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",31,,ALL CLASSES,,,,MONTHLY,2023,08,,00000000,FIELD CROPS,NE,NOT SPECIFIED,,,NEBRASKA,9000,$ / BU,UNITED STATES,ALL PRODUCTION PRACTICES,2023-09-29 15:00:00.000,,PRICE RECEIVED,NEBRASKA,,5.97,CROPS,TOTAL
,SEP,SURVEY,,GRAIN,CORN,STATE,31,09,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",31,,ALL CLASSES,,,,MONTHLY,2023,09,,00000000,FIELD CROPS,NE,NOT SPECIFIED,,,NEBRASKA,9000,$ / BU,UNITED STATES,ALL PRODUCTION PRACTICES,2024-09-27 15:00:00.000,,PRICE RECEIVED,NEBRASKA,,5.38,CROPS,TOTAL
,OCT,SURVEY,,GRAIN,CORN,STATE,31,10,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",31,,ALL CLASSES,,,,MONTHLY,2023,10,,00000000,FIELD CROPS,NE,NOT SPECIFIED,,,NEBRASKA,9000,$ / BU,UNITED STATES,ALL PRODUCTION PRACTICES,2024-09-27 15:00:00.000,,PRICE RECEIVED,NEBRASKA,,5.06,CROPS,TOTAL
,NOV,SURVEY,,GRAIN,CORN,STATE,31,11,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",31,,ALL CLASSES,,,,MONTHLY,2023,11,,00000000,FIELD CROPS,NE,NOT SPECIFIED,,,NEBRASKA,9000,$ / BU,UNITED STATES,ALL PRODUCTION PRACTICES,2024-09-27 15:00:00.000,,PRICE RECEIVED,NEBRASKA,,4.85,CROPS,TOTAL
,DEC,SURVEY,,GRAIN,CORN,STATE,31,12,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",31,,ALL CLASSES,,,,MONTHLY,2023,12,,00000000,FIELD CROPS,NE,NOT SPECIFIED,,,NEBRASKA,9000,$ / BU,UNITED STATES,ALL PRODUCTION PRACTICES,2024-09-27 15:00:00.000,,PRICE RECEIVED,NEBRASKA,,4.89,CROPS,TOTAL
,JAN,SURVEY,,GRAIN,CORN,STATE,31,01,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",31,,ALL CLASSES,,,,MONTHLY,2022,01,,00000000,FIELD CROPS,NE,NOT SPECIFIED,,,NEBRASKA,9000,$ / BU,UNITED STATES,ALL PRODUCTION PRACTICES,2022-03-31 15:02:29.000,,PRICE RECEIVED,NEBRASKA,,5.57,CROPS,TOTAL
,FEB,SURVEY,,GRAIN,CORN,STATE,31,02,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",31,,ALL CLASSES,,,,MONTHLY,2022,02,,00000000,FIELD CROPS,NE,NOT SPECIFIED,,,NEBRASKA,9000,$ / BU,UNITED STATES,ALL PRODUCTION PRACTICES,2023-03-01 15:00:00.000,,PRICE RECEIVED,NEBRASKA,,5.94,CROPS,TOTAL
,MAR,SURVEY,,GRAIN,CORN,STATE,31,03,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",31,,ALL CLASSES,,,,MONTHLY,2022,03,,00000000,FIELD CROPS,NE,NOT SPECIFIED,,,NEBRASKA,9000,$ / BU,UNITED STATES,ALL PRODUCTION PRACTICES,2022-05-31 15:03:15.000,,PRICE RECEIVED,NEBRASKA,,6.4,CROPS,TOTAL
,APR,SURVEY,,GRAIN,CORN,STATE,31,04,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",31,,ALL CLASSES,,,,MONTHLY,2022,04,,00000000,FIELD CROPS,NE,NOT SPECIFIED,,,NEBRASKA,9000,$ / BU,UNITED STATES,ALL PRODUCTION PRACTICES,2023-03-01 15:00:00.000,,PRICE RECEIVED,NEBRASKA,,7.07,CROPS,TOTAL
,MAY,SURVEY,,GRAIN,CORN,STATE,31,05,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",31,,ALL CLASSES,,,,MONTHLY,2022,05,,00000000,FIELD CROPS,NE,NOT SPECIFIED,,,NEBRASKA,9000,$ / BU,UNITED STATES,ALL PRODUCTION PRACTICES,2022-07-29 15:01:54.000,,PRICE RECEIVED,NEBRASKA,,7.39,CROPS,TOTAL
,JUN,SURVEY,,GRAIN,CORN,STATE,31,06,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",31,,ALL CLASSES,,,,MONTHLY,2022,06,,00000000,FIELD CROPS,NE,NOT SPECIFIED,,,NEBRASKA,9000,$ / BU,UNITED STATES,ALL PRODUCTION PRACTICES,2023-03-01 15:00:00.000,,PRICE RECEIVED,NEBRASKA,,7.45,CROPS,TOTAL
,JUL,SURVEY,,GRAIN,CORN,STATE,31,07,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",31,,ALL CLASSES,,,,MONTHLY,2022,07,,00000000,FIELD CROPS,NE,NOT SPECIFIED,,,NEBRASKA,9000,$ / BU,UNITED STATES,ALL PRODUCTION PRACTICES,2022-09-30 15:00:00.000,,PRICE RECEIVED,NEBRASKA,,7.31,CROPS,TOTAL
,AUG,SURVEY,,GRAIN,CORN,STATE,31,08,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",31,,ALL CLASSES,,,,MONTHLY,2022,08,,00000000,FIELD CROPS,NE,NOT SPECIFIED,,,NEBRASKA,9000,$ / BU,UNITED STATES,ALL PRODUCTION PRACTICES,2022-09-30 15:00:00.000,,PRICE RECEIVED,NEBRASKA,,7.37,CROPS,TOTAL
,SEP,SURVEY,,GRAIN,CORN,STATE,31,09,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",31,,ALL CLASSES,,,,MONTHLY,2022,09,,00000000,FIELD CROPS,NE,NOT SPECIFIED,,,NEBRASKA,9000,$ / BU,UNITED STATES,ALL PRODUCTION PRACTICES,2023-11-30 15:00:00.000,,PRICE RECEIVED,NEBRASKA,,7.14,CROPS,TOTAL
,OCT,SURVEY,,GRAIN,CORN,STATE,31,10,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",31,,ALL CLASSES,,,,MONTHLY,2022,10,,00000000,FIELD CROPS,NE,NOT SPECIFIED,,,NEBRASKA,9000,$ / BU,UNITED STATES,ALL PRODUCTION PRACTICES,2023-11-30 15:00:00.000,,PRICE RECEIVED,NEBRASKA,,6.59,CROPS,TOTAL
,NOV,SURVEY,,GRAIN,CORN,STATE,31,11,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",31,,ALL CLASSES,,,,MONTHLY,2022,11,,00000000,FIELD CROPS,NE,NOT SPECIFIED,,,NEBRASKA,9000,$ / BU,UNITED STATES,ALL PRODUCTION PRACTICES,2023-11-30 15:00:00.000,,PRICE RECEIVED,NEBRASKA,,6.83,CROPS,TOTAL
,DEC,SURVEY,,GRAIN,CORN,STATE,31,12,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",31,,ALL CLASSES,,,,MONTHLY,2022,12,,00000000,FIELD CROPS,NE,NOT SPECIFIED,,,NEBRASKA,9000,$ / BU,UNITED STATES,ALL PRODUCTION PRACTICES,2023-11-30 15:00:00.000,,PRICE RECEIVED,NEBRASKA,,6.83,CROPS,TOTAL
,JAN,SURVEY,,GRAIN,CORN,STATE,31,01,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",31,,ALL CLASSES,,,,MONTHLY,2021,01,,00000000,FIELD CROPS,NE,NOT SPECIFIED,,,NEBRASKA,9000,$ / BU,UNITED STATES,ALL PRODUCTION PRACTICES,2022-02-28 15:03:56.000,,PRICE RECEIVED,NEBRASKA,,4.26,CROPS,TOTAL
,FEB,SURVEY,,GRAIN,CORN,STATE,31,02,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",31,,ALL CLASSES,,,,MONTHLY,2021,02,,00000000,FIELD CROPS,NE,NOT SPECIFIED,,,NEBRASKA,9000,$ / BU,UNITED STATES,ALL PRODUCTION PRACTICES,2022-03-31 15:02:29.000,,PRICE RECEIVED,NEBRASKA,,4.64,CROPS,TOTAL
,MAR,SURVEY,,GRAIN,CORN,STATE,31,03,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",31,,ALL CLASSES,,,,MONTHLY,2021,03,,00000000,FIELD CROPS,NE,NOT SPECIFIED,,,NEBRASKA,9000,$ / BU,UNITED STATES,ALL PRODUCTION PRACTICES,2022-04-29 15:01:27.000,,PRICE RECEIVED,NEBRASKA,,4.71,CROPS,TOTAL
,APR,SURVEY,,GRAIN,CORN,STATE,31,04,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",31,,ALL CLASSES,,,,MONTHLY,2021,04,,00000000,FIELD CROPS,NE,NOT SPECIFIED,,,NEBRASKA,9000,$ / BU,UNITED STATES,ALL PRODUCTION PRACTICES,2022-05-31 15:03:15.000,,PRICE RECEIVED,NEBRASKA,,5.21,CROPS,TOTAL
,MAY,SURVEY,,GRAIN,CORN,STATE,31,05,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",31,,ALL CLASSES,,,,MONTHLY,2021,05,,00000000,FIELD CROPS,NE,NOT SPECIFIED,,,NEBRASKA,9000,$ / BU,UNITED STATES,ALL PRODUCTION PRACTICES,2022-06-30 15:02:08.000,,PRICE RECEIVED,NEBRASKA,,5.84,CROPS,TOTAL
,JUN,SURVEY,,GRAIN,CORN,STATE,31,06,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",31,,ALL CLASSES,,,,MONTHLY,2021,06,,00000000,FIELD CROPS,NE,NOT SPECIFIED,,,NEBRASKA,9000,$ / BU,UNITED STATES,ALL PRODUCTION PRACTICES,2022-07-29 15:01:54.000,,PRICE RECEIVED,NEBRASKA,,6.01,CROPS,TOTAL
,JUL,SURVEY,,GRAIN,CORN,STATE,31,07,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",31,,ALL CLASSES,,,,MONTHLY,2021,07,,00000000,FIELD CROPS,NE,NOT SPECIFIED,,,NEBRASKA,9000,$ / BU,UNITED STATES,ALL PRODUCTION PRACTICES,2022-08-31 15:06:19.000,,PRICE RECEIVED,NEBRASKA,,6.03,CROPS,TOTAL
,AUG,SURVEY,,GRAIN,CORN,STATE,31,08,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",31,,ALL CLASSES,,,,MONTHLY,2021,08,,00000000,FIELD CROPS,NE,NOT SPECIFIED,,,NEBRASKA,9000,$ / BU,UNITED STATES,ALL PRODUCTION PRACTICES,2022-09-30 15:00:00.000,,PRICE RECEIVED,NEBRASKA,,6.3,CROPS,TOTAL
,SEP,SURVEY,,GRAIN,CORN,STATE,31,09,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",31,,ALL CLASSES,,,,MONTHLY,2021,09,,00000000,FIELD CROPS,NE,NOT SPECIFIED,,,NEBRASKA,9000,$ / BU,UNITED STATES,ALL PRODUCTION PRACTICES,2021-11-30 15:01:54.000,,PRICE RECEIVED,NEBRASKA,,5.77,CROPS,TOTAL
,OCT,SURVEY,,GRAIN,CORN,STATE,31,10,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",31,,ALL CLASSES,,,,MONTHLY,2021,10,,00000000,FIELD CROPS,NE,NOT SPECIFIED,,,NEBRASKA,9000,$ / BU,UNITED STATES,ALL PRODUCTION PRACTICES,2021-12-30 15:01:46.000,,PRICE RECEIVED,NEBRASKA,,4.92,CROPS,TOTAL
